Date,Order,neg_EV,pos_EV,neu_EV,Topic_probability_EV,Topic-wise_Values_EV,tsf_neg_EV,tsf_neu_EV,tsf_pos_EV,neg_Technology,pos_Technology,neu_Technology,Topic_probability_Technology,Topic-wise_Values_Technology,tsf_neg_Technology,tsf_neu_Technology,tsf_pos_Technology,neg_ASEAN,pos_ASEAN,neu_ASEAN,Topic_probability_ASEAN,Lucifer-1,Lucifer-2,Lucifer-3,Lucifer-4,Lucifer-5,Lucifer-6,Lucifer-7,Lucifer-8,Lucifer-9,Lucifer-10,Lucifer-11,Lucifer-12,Lucifer-13,Lucifer-14,Lucifer-15,Lucifer-16,Lucifer-17,Lucifer-18,Lucifer-19,Lucifer-20
1/4/2018 0:00,589.0154684,0.24314551,0.06343762,0.036077622,0.447005965,0.409714329,0.012789215,8.47E-05,0.006452669,0.001774108,0.48015293,0.23344548,0.584623264,0.391257946,0.000119482,0.005419754,0.597809542,0.000569517,0.99285951,0.006692366,0.538575234,8.2083,10.8272,12.0664,11.846,12.1685,6.20402,9.65487,8.21408,11.4997,12.3343,12.4329,10.3005,10.1241,6.20029,11.0452,7.65887,9.66376,9.47677,9.46793,7.06206
1/5/2018 0:00,629.2358511,0.001641737,0.97988564,0.015263899,0.511226692,0.470848159,8.98E-05,1.55E-05,0.99989064,0.000953759,0.9881932,0.010373577,0.620490554,0.43190672,8.54E-05,1.39E-05,0.999894744,0.001400618,0.7575568,0.06614267,0.588685312,8.30824,12.648,8.41136,9.57259,6.39318,8.08302,11.5128,9.18947,12.7005,10.6645,6.38465,8.60262,9.0732,13.7057,12.4675,7.54107,11.4283,9.32191,9.84164,7.8236
1/6/2018 0:00,608.5117502,0.000755243,0.98007539,0.008891843,0.402369459,0.458773955,9.46E-05,1.56E-05,0.999889772,0.001243765,0.9834082,0.01462162,0.592400508,0.420649218,8.75E-05,1.53E-05,0.999889295,0.001240031,0.6106117,0.111687442,0.54176267,12.4877,6.21122,11.0368,8.95511,12.6726,8.29086,7.22881,9.32329,10.0935,10.7303,9.94118,7.76267,6.71218,8.74757,9.50532,7.15646,11.0186,8.36364,8.8904,12.1333
1/7/2018 0:00,572.9104906,0.001171559,0.9795454,0.019282868,0.558852132,0.51124943,9.50E-05,1.36E-05,0.999891345,0.00060513,0.9927103,0.006756743,0.575374296,0.422547288,8.63E-05,1.38E-05,0.999898398,0.001173492,0.94785446,0.020789865,0.582759353,14.3651,8.43799,12.0066,12.2001,8.92491,10.1561,12.5822,9.10328,11.1507,9.58318,12.0445,9.14451,11.3725,12.9686,12.4684,8.53618,11.878,10.3538,9.44971,6.15192
1/8/2018 0:00,586.5510618,0.000470748,0.99135226,0.008177021,0.614715349,0.495580486,8.15E-05,1.14E-05,0.999906176,0.000664084,0.95114247,0.024084584,0.565177531,0.41352777,9.96E-05,3.55E-05,0.99983094,0.001115874,0.88463241,0.022041492,0.508868392,7.11113,10.3633,7.63842,9.49914,10.8292,11.879,11.7834,13.1684,9.03379,8.39354,9.08841,10.0227,10.067,9.5484,10.1151,7.29441,8.10729,8.34411,10.1036,9.10223
1/9/2018 0:00,620.4658036,0.000515589,0.98891465,0.010569725,0.453225419,0.478780913,8.01E-05,1.27E-05,0.999905624,0.001027292,0.974974975,0.01504382,0.579985215,0.42524697,8.45E-05,1.92E-05,0.999879629,0.005806627,0.057407495,0.030189972,0.639676554,10.5707,12.7877,9.04522,9.66929,11.2291,12.3309,9.16938,12.5726,6.79123,7.44287,11.714,10.203,10.7372,13.5436,10.6688,11.0772,9.97003,8.81523,9.11095,10.7725
1/10/2018 0:00,690.7198753,0.00058953,0.99466705,0.00461189,0.549826855,0.470427195,7.81E-05,1.12E-05,0.999911593,0.000445073,0.99365586,0.005763549,0.553256475,0.43090397,8.69E-05,1.29E-05,0.999900385,0.001289247,0.8559161,0.040262505,0.498493945,12.4815,9.66213,13.5502,11.7361,10.0843,9.29325,3.41218,8.89863,11.9159,7.2329,10.9435,12.6616,12.0257,8.29723,9.31609,7.68962,12.8947,10.8877,8.61003,7.89589
1/11/2018 0:00,665.0212089,0.000562949,0.99057033,0.008649487,0.789867807,0.493830388,8.27E-05,1.24E-05,0.999905262,0.001284989,0.9550224,0.03485512,0.556511822,0.406631467,0.000109475,3.03E-05,0.999838137,0.001257708,0.676289,0.0376911,0.64542023,11.4863,10.9305,9.0558,7.56158,12.5973,13.5706,6.82624,9.04194,8.01968,11.1464,11.8395,8.63272,9.72807,8.5645,10.8253,6.56018,8.89345,10.0266,5.77292,8.81552
1/12/2018 0:00,555.6764161,0.000753772,0.98917353,0.010241536,0.640001271,0.479364121,8.29E-05,1.14E-05,0.999903783,0.003074657,0.7045909,0.011357703,0.464166688,0.427487469,8.63E-05,4.97E-05,0.992232584,0.001256132,0.91457385,0.0322276,0.518766143,8.57399,7.72413,12.9689,12.2382,11.237,9.41095,14.3788,9.67828,11.2245,7.44899,8.90741,8.23314,13.2116,7.3276,10.4608,6.91056,9.67764,13.2991,9.89555,13.3046
1/1/2019 0:00,577.933195,0.000433196,0.99460626,0.00496065,0.637281101,0.506329184,7.87E-05,1.08E-05,0.999910827,0.001374309,0.72700518,0.14671159,0.629719572,0.394618253,0.000119283,0.000816169,0.937502943,0.004919249,0.032137359,0.282843235,0.607352397,12.0389,8.52581,8.06404,9.52839,10.7735,9.24433,10.0471,8.42459,10.2298,12.8258,10.9474,13.7187,11.7975,11.186,7.45145,10.7131,10.9533,12.3462,8.70004,8.01279
1/2/2019 0:00,504.0252238,0.00128697,0.555565162,0.443147841,0.727160847,0.370684913,0.000142051,0.499754708,0.50010324,0.000695623,0.96770698,0.023701643,0.745877522,0.419647923,8.82E-05,2.32E-05,0.999862328,0.002828243,0.51631879,0.018884157,0.530719807,8.35916,10.3526,11.6508,9.03516,14.8533,8.85576,12.3964,12.0767,10.5163,12.8436,11.1426,13.0342,10.2711,11.1537,8.19584,9.12823,9.14569,10.9381,10.4696,12.1509
1/3/2019 0:00,619.0566381,0.32596654,0.053296793,0.62073666,0.896125823,0.039944022,0.058662358,0.938366819,0.002970823,0.001346569,0.90644544,0.04327997,0.682284279,0.409745482,8.83E-05,4.99E-05,0.999700292,0.001989144,0.8408605,0.028279152,0.554412079,11.1911,9.80992,10.2706,8.76398,10.3465,8.22402,12.2562,8.53863,9.87732,10.2967,9.63976,10.097,12.7965,8.71992,11.8584,9.07897,9.99415,6.6652,8.44695,9.55044
1/4/2019 0:00,589.2098267,0.001686528,0.8310359,0.006419628,0.504509324,0.472662306,0.000445478,4.41E-05,0.99908438,0.001127259,0.9560482,0.018822523,0.670735993,0.431577435,8.94E-05,2.91E-05,0.999847001,0.000901538,0.987532885,0.011114591,0.548924178,10.9646,10.5435,10.2714,7.05574,11.7924,10.5826,9.35714,11.8373,11.3832,9.59021,10.7644,9.39228,11.6088,9.94303,7.13457,11.6691,12.8245,10.7621,7.57443,11.9003
1/5/2019 0:00,567.4572794,0.01238012,0.38408055,0.60353938,0.659230606,0.319075374,0.000584913,0.500746694,0.498668393,0.001789006,0.65122195,0.083395628,0.564300879,0.401188361,0.000116535,0.000236802,0.9619488,0.001784054,0.5912577,0.03997113,0.536482302,5.58047,9.26606,10.0645,10.9872,8.50418,10.8959,10.3317,11.393,12.3161,11.1309,10.2667,9.88602,9.51428,10.4032,9.67316,8.96594,8.47649,10.6778,8.6645,8.65549
1/6/2019 0:00,518.9057302,0.000526028,0.980481025,0.019025968,0.479747417,0.470827502,7.95E-05,1.72E-05,0.999889407,0.000834274,0.96769337,0.011563145,0.588286396,0.425676966,8.86E-05,2.40E-05,0.99986284,0.00067001,0.9878185,0.010571698,0.517592406,9.53095,7.64136,6.81652,8.44761,10.8497,10.8786,9.92513,12.4792,12.2583,10.2172,11.0423,11.1919,9.85769,12.3881,8.25467,9.20172,10.2879,11.1913,9.71295,10.7346
1/7/2019 0:00,568.7577495,0.000570337,0.990826,0.008069802,0.666001807,0.465630371,8.23E-05,1.23E-05,0.99990509,0.000927723,0.9577938,0.019757427,0.502606416,0.419171713,9.80E-05,2.57E-05,0.999859909,0.001210445,0.17241421,0.120230265,0.608160756,10.9682,11.0084,9.1204,9.30062,9.80932,10.0043,9.16585,10.0553,9.07723,9.84108,9.99333,10.8412,11.0473,9.3368,8.49402,10.6205,11.7778,11.5844,11.0876,11.1289
1/8/2019 0:00,517.4997877,0.002216783,0.93252748,0.065008305,0.541133162,0.374815514,0.000152127,4.53E-05,0.999802566,0.002103714,0.3823898,0.5619765,0.502179017,0.404383729,9.73E-05,0.840133548,0.132731952,0.001297679,0.083508335,0.22409952,0.544724929,9.13693,10.9659,9.54626,11.5472,12.4294,12.7618,12.2068,9.11939,9.36427,10.0378,12.326,7.55748,4.99858,8.52596,6.34706,10.564,12.3875,7.67875,10.0532,10.7279
